N5.HOG0000000,Ictalurus_punctatus---rna-XM_053685317.1
N5.HOG0000115,Salmo_salar---rna-XM_045709989.1
N5.HOG0000116,Alosa_sapidissima---rna-XM_042104937.1
N5.HOG0000117,Gadus_chalcogrammus---rna-XM_056580940.1
N5.HOG0000118,Scleropages_formosus---rna-XM_029254101.1
N5.HOG0000119,Brienomyrus_brachyistius---rna-XM_049021685.1
N5.HOG0000120,Myxocyprinus_asiaticus---rna-XM_051704355.1
N5.HOG0000121,Sardina_pilchardus---rna-XM_062531719.1
N5.HOG0000122,Alosa_sapidissima---rna-XM_042105013.1
N5.HOG0000123,Alosa_sapidissima---rna-XM_042105001.1
N5.HOG0000124,Prochilodus_magdalenae---PM_28946
N5.HOG0000125,Limanda_limanda---rna-XM_061066631.1
N5.HOG0000126,Gymnothorax_javanicus---GJAV_T00065720
N5.HOG0000127,Brienomyrus_brachyistius---rna-XM_049004038.1
N5.HOG0000128,Prochilodus_magdalenae---PM_29981
N5.HOG0000129,Melanotaenia_boesemani---rna-XM_041974831.1
N5.HOG0000130,Datnioides_undecimradiatus---g19647.t1
N5.HOG0000131,Salvelinus_namaycush---rna-XM_038987428.1
N5.HOG0000132,Oncorhynchus_keta---rna-XM_052526420.1
N5.HOG0000133,Danio_aesculapii---rna-XM_056454442.1
N5.HOG0000134,Alosa_sapidissima---rna-XM_042069917.1
N5.HOG0000135,Galaxias_olidus---g49457.t1
N5.HOG0000136,Ctenopharyngodon_idella---rna-XM_051871231.1
N5.HOG0000137,Tachysurus_fulvidraco---rna-XM_047822072.1
N5.HOG0000138,Chanos_chanos---rna-XM_030790448.1
N5.HOG0000139,Sinocyclocheilus_grahami---rna-XM_016242474.1
N5.HOG0000140,Pygocentrus_nattereri---rna-XM_037541230.1
N5.HOG0000141,Neoarius_graeffei---rna-XM_060920924.1
N5.HOG0000142,Pangasianodon_gigas---PGIGA_T00209540
N5.HOG0000143,Trichomycterus_rosablanca---rna-XM_062985054.1
N5.HOG0000144,Pangasianodon_hypophthalmus---rna-XM_053235527.1
N5.HOG0000145,Brienomyrus_brachyistius---rna-XM_049027067.1
N5.HOG0000146,Alosa_sapidissima---rna-XM_042108695.1
N5.HOG0000147,Prochilodus_magdalenae---PM_09230
N5.HOG0000148,Pangasianodon_hypophthalmus---rna-XM_053240491.1
N5.HOG0000149,Brienomyrus_brachyistius---rna-XM_049000508.1
N5.HOG0000150,Xyrauchen_texanus---rna-XM_052135926.1
N5.HOG0000151,Salvelinus_namaycush---rna-XM_039008372.1
N5.HOG0000152,Colossoma_macropomum---rna-XM_036592274.1
N5.HOG0000153,Brienomyrus_brachyistius---rna-XM_048997385.1
N5.HOG0000154,Electrophorus_voltai---E.voltai_04082
N5.HOG0000155,Pygocentrus_nattereri---rna-XM_037540830.1
N5.HOG0000156,Pygocentrus_nattereri---rna-XM_037541099.1
N5.HOG0000157,Pangasianodon_gigas---PGIGA_T00078880
N5.HOG0000158,Oncorhynchus_mykiss---rna-XM_036939553.1
N5.HOG0000159,Anabarilius_grahami---mrna.DPX16_20688
N5.HOG0000160,Alosa_sapidissima---rna-XM_042092560.1
N5.HOG0000161,Clarias_magur---DAT39_013559-RA_mrna
N5.HOG0000162,Pangasianodon_gigas---PGIGA_T00178210
N5.HOG0000163,Ictalurus_punctatus---rna-XM_053684648.1
N5.HOG0000164,Electrona_antarctica---g11419.t1
N5.HOG0000165,Brienomyrus_brachyistius---rna-XM_049000509.1
N5.HOG0000166,Morone_saxatilis---rna-XM_035666901.1
N5.HOG0000167,Aldrovandia_affinis---mrna.AAFF_T00348570
N5.HOG0000168,Synchiropus_splendidus---rna-XM_053876950.1
N5.HOG0000169,Megalops_atlanticus---MATL_T00253320
N5.HOG0000170,Coregonus_suidteri---mrna.J4Q44_T00092480
N5.HOG0000171,Pangasianodon_hypophthalmus---rna-XM_026910480.3
N5.HOG0000172,Brienomyrus_brachyistius---rna-XM_049014227.1
N5.HOG0000173,Anguilla_anguilla---rna-XM_035387255.1
N5.HOG0000174,Salvelinus_fontinalis---rna-XM_055942522.1
N5.HOG0000175,Galaxias_olidus---g6329.t1
N5.HOG0000176,Lucifuga_dentata---LDENT00000400_mrna
N5.HOG0000177,Nibea_albiflora---Mianyu0004185
N5.HOG0000178,Acanthochromis_polyacanthus---rna-XM_051957823.1
N5.HOG0000179,Mugil_cephalus---rna-XM_047579741.1
N5.HOG0000180,Poeciliopsis_prolifica---rna-XM_055047055.1
N5.HOG0000181,Myripristis_murdjan---rna-XM_030066439.1
N5.HOG0000182,Channa_striata---evm.model.LG22.76
N5.HOG0000183,Monopterus_albus---rna-XM_020592293.1
N5.HOG0000184,Xiphophorus_maculatus---rna-XM_023330008.1
N5.HOG0000185,Stegastes_partitus---rna-XM_008298697.1
N5.HOG0000186,Poecilia_mexicana---rna-XM_014990012.1
N5.HOG0000187,Stegastes_partitus---rna-XM_008292073.1
N5.HOG0000188,Etheostoma_cragini---rna-XM_034866012.1
N5.HOG0000189,Scomber_scombrus---rna-XM_062438764.1
N5.HOG0000190,Synchiropus_splendidus---rna-XM_053854347.1
N5.HOG0000191,Scomber_japonicus---rna-XM_053323710.1
N5.HOG0000192,Channa_striata---evm.model.LG03.370
N5.HOG0000193,Sebastes_umbrosus---rna-XM_037782481.1
N5.HOG0000194,Scomber_japonicus---rna-XM_053320365.1
N5.HOG0000195,Xyrichtys_novacula---gene-XNOV1_A039075
N5.HOG0000196,Nothobranchius_furzeri---rna-XM_054743213.1
N5.HOG0000197,Scortum_barcoo---S.barcoo_10000
N5.HOG0000198,Centropristis_striata---rna-XM_059359004.1
N5.HOG0000199,Kryptolebias_marmoratus---rna-XM_037973810.1
N5.HOG0000200,Pseudoliparis_swirei---rna-XM_056418994.1
N5.HOG0000201,Crenichthys_baileyi---CRENBAI_021591-T1_mrna
N5.HOG0000202,Scortum_barcoo---S.barcoo_20173
N5.HOG0000203,Parambassis_ranga---g5884.t1
N5.HOG0000204,Xiphophorus_couchianus---rna-XM_028025804.1
N5.HOG0000205,Dicentrarchus_labrax---rna-XM_051393261.1
N5.HOG0000206,Dicentrarchus_labrax---rna-XM_051379539.1
N5.HOG0000207,Gadus_chalcogrammus---rna-XM_056588899.1
N5.HOG0000208,Channa_striata---evm.model.LG09.1094
N5.HOG0000209,Gymnothorax_javanicus---GJAV_T00274430
N5.HOG0000210,Sander_lucioperca---rna-XM_036008181.1
N5.HOG0000211,Scortum_barcoo---S.barcoo_00837
N5.HOG0000212,Solea_solea---rna-XM_058612981.1
N5.HOG0000213,Epinephelus_lanceolatus---rna-XM_033645290.1
N5.HOG0000214,Etheostoma_cragini---rna-XM_034865776.1
N5.HOG0000215,Scomber_japonicus---rna-XM_053342769.1
N5.HOG0000216,Solea_solea---rna-XM_058618034.1
N5.HOG0000217,Stegastes_partitus---rna-XM_008296979.1
N5.HOG0000218,Poecilia_reticulata---rna-XM_017302103.1
N5.HOG0000219,Channa_striata---evm.model.LG22.444
N5.HOG0000220,Caranx_melampygus---mRNA13128
N5.HOG0000221,Pelmatolapia_mariae---rna-XM_063467709.1
N5.HOG0000222,Boleophthalmus_pectinirostris---rna-XM_055151409.1
N5.HOG0000223,Sebastes_umbrosus---rna-XM_037763248.1
N5.HOG0000224,Gadus_macrocephalus---rna-XM_060045505.1
N5.HOG0000225,Gadus_macrocephalus---rna-XM_060050883.1
N5.HOG0000226,Xyrauchen_texanus---rna-XM_052136409.1
N5.HOG0000227,Hippocampus_comes---rna-XM_019895097.1
N5.HOG0000228,Salarias_fasciatus---rna-XM_030100937.1
N5.HOG0000229,Gasterosteus_aculeatus_aculeatus---rna-XM_040187516.1
N5.HOG0000230,Gadus_morhua---rna-XM_030377493.1
N5.HOG0000231,Gymnothorax_javanicus---GJAV_T00069350
N5.HOG0000232,Anguilla_anguilla---rna-XM_035415139.1
N5.HOG0000233,Paramormyrops_kingsleyae---rna-XM_023818266.1
N5.HOG0000234,Paramormyrops_kingsleyae---rna-XM_023818201.1
N5.HOG0000235,Megalops_cyprinoides---rna-XM_036518475.1
N5.HOG0000236,Anabarilius_grahami---mrna.DPX16_20627
N5.HOG0000237,Scortum_barcoo---S.barcoo_11813
N5.HOG0000238,Pangasianodon_hypophthalmus---rna-XM_053233522.1
N5.HOG0000239,Anguilla_anguilla---rna-XM_035415104.1
N5.HOG0000240,Megalops_cyprinoides---rna-XM_036533229.1
N5.HOG0000241,Conger_conger---rna-XM_061230137.1
N5.HOG0000242,Albula_goreensis---AGOR_T00032640
N5.HOG0000243,Prochilodus_magdalenae---PM_25753
N5.HOG0000244,Brienomyrus_brachyistius---rna-XM_049010098.1
N5.HOG0000245,Engraulis_encrasicolus---rna-XM_063195886.1
N5.HOG0000246,Anabarilius_grahami---mrna.DPX16_10311
N5.HOG0000247,Cirrhinus_molitorella---evm.model.Chr24.557
N5.HOG0000248,Misgurnus_anguillicaudatus---rna-XM_055178575.1
N5.HOG0000249,Danionella_translucida---DT33967-RF
N5.HOG0000250,Anabarilius_grahami---mrna.DPX16_10178
N5.HOG0000251,Danio_aesculapii---rna-XM_056455254.1
N5.HOG0000252,Triplophysa_dalaica---rna-XM_056736606.1
N5.HOG0000253,Labeo_rohita---rna-XM_051103432.1
N5.HOG0000254,Xyrauchen_texanus---rna-XM_052127900.1
N5.HOG0000255,Anguilla_anguilla---rna-XM_035414667.1
N5.HOG0000256,Trichomycterus_rosablanca---rna-XM_062993650.1
N5.HOG0000257,Hemibagrus_guttatus---male_15464
N5.HOG0000258,Prochilodus_magdalenae---PM_26243
N5.HOG0000259,Salmo_salar---rna-XM_014181294.2
N5.HOG0000260,Conger_conger---rna-XM_061257527.1
N5.HOG0000261,Scomber_japonicus---rna-XM_053330815.1
N5.HOG0000262,Cyprinus_carpio---rna-XM_042746741.1
N5.HOG0000263,Danio_aesculapii---rna-XM_056481228.1
N5.HOG0000264,Albula_glossodonta---mRNA20685
N5.HOG0000265,Aldrovandia_affinis---mrna.AAFF_T00388680
N5.HOG0000266,Brienomyrus_brachyistius---rna-XM_048999990.1
N5.HOG0000267,Pangasianodon_gigas---PGIGA_T00195090
N5.HOG0000268,Silurus_asotus---mrna.C0J50_18167
N5.HOG0000269,Ictalurus_furcatus---rna-XM_053639322.1
N5.HOG0000270,Trichomycterus_rosablanca---rna-XM_063008953.1
N5.HOG0000271,Engraulis_encrasicolus---rna-XM_063212570.1
N5.HOG0000272,Triplophysa_dalaica---rna-XM_056742978.1
N5.HOG0000273,Oreochromis_niloticus---rna-XM_019354145.2
N5.HOG0000274,Electrophorus_voltai---E.voltai_17350
N5.HOG0000275,Anabarilius_grahami---mrna.DPX16_14769
N5.HOG0000276,Salarias_fasciatus---rna-XM_030085585.1
N5.HOG0000277,Prochilodus_magdalenae---PM_08445
N5.HOG0000278,Cirrhinus_molitorella---evm.model.Chr24.827
N5.HOG0000279,Albula_goreensis---AGOR_T00190760
N5.HOG0000280,Megalobrama_amblycephala---rna-XM_048164119.1
N5.HOG0000281,Myripristis_murdjan---rna-XM_030076409.1
N5.HOG0000282,Pangasianodon_hypophthalmus---rna-XM_053231623.1
N5.HOG0000283,Silurus_asotus---mrna.C0J50_18206
N5.HOG0000284,Labeo_rohita---rna-XM_051126175.1
N5.HOG0000285,Salvelinus_namaycush---rna-XM_038982276.1
N5.HOG0000286,Aldrovandia_affinis---mrna.AAFF_T00057380
N5.HOG0000287,Engraulis_encrasicolus---rna-XM_063207743.1
N5.HOG0000288,Gymnothorax_javanicus---GJAV_T00206400
N5.HOG0000289,Engraulis_encrasicolus---rna-XM_063195825.1
N5.HOG0000290,Hemibagrus_guttatus---male_03619
N5.HOG0000291,Coregonus_suidteri---mrna.J4Q44_T00350960
N5.HOG0000292,Albula_glossodonta---mRNA18651
N5.HOG0000293,Misgurnus_anguillicaudatus---rna-XM_055181592.1
N5.HOG0000294,Albula_goreensis---AGOR_T00171800
N5.HOG0000295,Aldrovandia_affinis---mrna.AAFF_T00265200
N5.HOG0000296,Hemibagrus_wyckioides---rna-XM_058395584.1
N5.HOG0000297,Hemibagrus_guttatus---male_29459
N5.HOG0000298,Brienomyrus_brachyistius---rna-XM_049010433.1
N5.HOG0000299,Clarias_gariepinus---rna-XM_053514775.1
N5.HOG0000300,Takifugu_flavidus---rna-XM_057057082.1
N5.HOG0000301,Chanos_chanos---rna-XM_030786593.1
N5.HOG0000302,Silurus_asotus---mrna.C0J50_6384
N5.HOG0000303,Anabarilius_grahami---mrna.DPX16_8209
N5.HOG0000304,Nerophis_lumbriciformis---rna-XM_061977385.1
N5.HOG0000305,Synchiropus_splendidus---rna-XM_053883653.1
N5.HOG0000306,Electrophorus_voltai---E.voltai_14641
N5.HOG0000307,Albula_goreensis---AGOR_T00032550
N5.HOG0000308,Aplochiton_taeniatus---g37778.t1
N5.HOG0000309,Neoarius_graeffei---rna-XM_060943583.1
N5.HOG0000310,Anguilla_anguilla---rna-XM_035384191.1
N5.HOG0000311,Oncorhynchus_nerka---rna-XM_029654603.1
N5.HOG0000312,Anabarilius_grahami---mrna.DPX16_10217
N5.HOG0000313,Poecilia_latipinna---rna-XM_015058108.1
N5.HOG0000314,Perca_flavescens---rna-XM_028592476.1
N5.HOG0000315,Dallia_pectoralis---mrna.DPEC_T00144520
N5.HOG0000316,Dallia_pectoralis---mrna.DPEC_T00356520
N5.HOG0000317,Synaphobranchus_kaupii---mrna.SKAU_T00076730
N5.HOG0000318,Conger_conger---rna-XM_061223626.1
N5.HOG0000319,Albula_glossodonta---mRNA22252
N5.HOG0000320,Synaphobranchus_kaupii---mrna.SKAU_T00075360
N5.HOG0000321,Conger_conger---rna-XM_061239179.1
N5.HOG0000322,Aldrovandia_affinis---mrna.AAFF_T00407380
N5.HOG0000323,Colossoma_macropomum---rna-XM_036560372.1
N5.HOG0000324,Trichomycterus_rosablanca---rna-XM_062994451.1
N5.HOG0000325,Dicentrarchus_labrax---rna-XM_051412884.1
N5.HOG0000326,Astyanax_mexicanus---rna-XM_049482772.1
N5.HOG0000327,Caranx_melampygus---mRNA16732
N5.HOG0000328,Periophthalmus_magnuspinnatus---rna-XM_033986361.2
N5.HOG0000329,Synchiropus_splendidus---rna-XM_053860121.1
N5.HOG0000330,Thalassophryne_amazonica---rna-XM_034175253.1
N5.HOG0000331,Datnioides_undecimradiatus---g29298.t1
N5.HOG0000332,Cottoperca_gobio---rna-XM_029437510.1
N5.HOG0000333,Menidia_menidia---rna-MMEN_LOCUS13311
N5.HOG0000334,Channa_striata---evm.model.LG11.486
N5.HOG0000335,Scomber_japonicus---rna-XM_053339532.1
N5.HOG0000336,Thunnus_maccoyii---rna-XM_042392417.1
N5.HOG0000337,Collichthys_lucidus---mrna_D9C73_014415
N5.HOG0000338,Nibea_albiflora---Mianyu0017524
N5.HOG0000339,Collichthys_lucidus---mrna_D9C73_010069
N5.HOG0000340,Dicentrarchus_labrax---rna-XM_051385472.1
N5.HOG0000341,Cololabis_saira---rna-XM_061729368.1
N5.HOG0000342,Cheilinus_undulatus---rna-XM_041786978.1
N5.HOG0000343,Hyperoplus_immaculatus---g11266.t1
N5.HOG0000344,Scomber_scombrus---rna-XM_062418556.1
N5.HOG0000345,Neoarius_graeffei---rna-XM_060913347.1
N5.HOG0000346,Anabarilius_grahami---mrna.DPX16_18882
N5.HOG0000347,Poecilia_formosa---rna-XM_016665000.1
N5.HOG0000348,Anabarilius_grahami---mrna.DPX16_15055
N5.HOG0000349,Hippoglossus_hippoglossus---rna-XM_034587912.1
N5.HOG0000350,Chelmon_rostratus---rna-XM_041943421.1
N5.HOG0000351,Nibea_albiflora---Mianyu0013061
N5.HOG0000352,Pseudoliparis_swirei---rna-XM_056436677.1
N5.HOG0000353,Gasterosteus_aculeatus_aculeatus---rna-XM_040170925.1
N5.HOG0000354,Dicentrarchus_labrax---rna-XM_051410838.1
N5.HOG0000355,Scomber_scombrus---rna-XM_062418551.1
N5.HOG0000356,Hyperoplus_immaculatus---g14233.t1
N5.HOG0000357,Fundulus_heteroclitus---rna-XM_036138635.1
N5.HOG0000358,Salarias_fasciatus---rna-XM_030082491.1
N5.HOG0000359,Channa_striata---evm.model.LG03.258
N5.HOG0000360,Stegastes_partitus---rna-XM_008290848.1
N5.HOG0000361,Scomber_japonicus---rna-XM_053336202.1
N5.HOG0000362,Poecilia_formosa---rna-XM_007575677.2
N5.HOG0000363,Sander_lucioperca---rna-XM_031317350.2
N5.HOG0000364,Oreochromis_aureus---rna-XM_039610379.1
N5.HOG0000365,Menidia_menidia---rna-MMEN_LOCUS18932
N5.HOG0000366,Menidia_menidia---rna-MMEN_LOCUS5685
N5.HOG0000367,Periophthalmus_magnuspinnatus---rna-XM_033982867.2
N5.HOG0000368,Melanotaenia_boesemani---rna-XM_041991747.1
N5.HOG0000369,Champsocephalus_gunnari---g_19962.t1
N5.HOG0000370,Trematomus_bernacchii---rna-XM_034150966.1
N5.HOG0000371,Kryptolebias_marmoratus---rna-XM_017436828.3
N5.HOG0000372,Micropterus_dolomieu---rna-XM_046051925.1
N5.HOG0000373,Sphaeramia_orbicularis---rna-XM_030128282.1
N5.HOG0000374,Melanotaenia_boesemani---rna-XM_041991690.1
N5.HOG0000375,Electrona_antarctica---g19995.t1
N5.HOG0000376,Takifugu_flavidus---rna-XM_057016196.1
N5.HOG0000377,Gadus_macrocephalus---rna-XM_060058619.1
N5.HOG0000378,Oryzias_melastigma---rna-XM_024262664.2
N5.HOG0000379,Electrona_antarctica---g15643.t1
N5.HOG0000380,Prochilodus_magdalenae---PM_03585
N5.HOG0000381,Poecilia_formosa---rna-XM_016676185.1
N5.HOG0000382,Aplochiton_taeniatus---g17869.t1
N5.HOG0000383,Salarias_fasciatus---rna-XM_030087894.1
N5.HOG0000384,Pygocentrus_nattereri---rna-XM_017686886.2
N5.HOG0000385,Anabarilius_grahami---mrna.DPX16_10297
N5.HOG0000386,Acanthochromis_polyacanthus---rna-XM_051944247.1
N5.HOG0000387,Carassius_carassius---rna-XM_059568635.1
N5.HOG0000388,Scomber_scombrus---rna-XM_062434195.1
N5.HOG0000389,Pundamilia_nyererei---rna-XM_013916046.1
N5.HOG0000390,Prochilodus_magdalenae---PM_02178
N5.HOG0000391,Channa_striata---evm.model.LG03.245
N5.HOG0000392,Sardina_pilchardus---rna-XM_062543828.1
N5.HOG0000393,Pimephales_promelas---rna-XM_039689831.1
N5.HOG0000394,Coregonus_clupeaformis---rna-XM_045217618.1
N5.HOG0000395,Oncorhynchus_tshawytscha---rna-XM_042327866.1
N5.HOG0000396,Coregonus_clupeaformis---rna-XM_041851857.2
N5.HOG0000397,Gymnothorax_javanicus---GJAV_T00085370
N5.HOG0000398,Clarias_magur---DAT39_011433-RA_mrna
N5.HOG0000399,Pangasianodon_gigas---PGIGA_T00059310
N5.HOG0000400,Silurus_asotus---mrna.C0J50_18157
N5.HOG0000401,Cirrhinus_molitorella---evm.model.Chr17.851
N5.HOG0000402,Coregonus_suidteri---mrna.J4Q44_T00104060
N5.HOG0000403,Chanos_chanos---rna-XM_030778471.1
N5.HOG0000404,Cololabis_saira---rna-XM_061731378.1
N5.HOG0000405,Carassius_gibelio---rna-XM_052547812.1
N5.HOG0000406,Anabarilius_grahami---mrna.DPX16_5250
N5.HOG0000407,Brienomyrus_brachyistius---rna-XM_049026987.1
N5.HOG0000408,Alosa_alosa---rna-XM_048265885.1
N5.HOG0000409,Myxocyprinus_asiaticus---rna-XM_051697498.1
N5.HOG0000410,Misgurnus_anguillicaudatus---rna-XM_055184167.1
N5.HOG0000411,Carassius_gibelio---rna-XM_052550520.1
N5.HOG0000412,Monopterus_albus---rna-XM_020601969.1
N5.HOG0000413,Carassius_carassius---rna-XM_059543687.1
N5.HOG0000414,Prochilodus_magdalenae---PM_22194
N5.HOG0000415,Sphaeramia_orbicularis---rna-XM_030141888.1
N5.HOG0000416,Pangasianodon_hypophthalmus---rna-XM_053232002.1
N5.HOG0000417,Myxocyprinus_asiaticus---rna-XM_051695129.1
N5.HOG0000418,Brienomyrus_brachyistius---rna-XM_049015350.1
N5.HOG0000419,Entelurus_aequoreus---rna-XM_062057484.1
N5.HOG0000420,Cirrhinus_molitorella---evm.model.Chr01.334
N5.HOG0000421,Misgurnus_anguillicaudatus---rna-XM_055168270.1
