Gene stable ID	Human gene stable ID	Human gene name
ENSDARG00000011449	ENSG00000182511	FES
ENSDARG00000099200	ENSG00000135047	CTSL
ENSDARG00000099200	ENSG00000136943	CTSV
ENSDARG00000040250		
ENSDARG00000044753	ENSG00000101365	IDH3B
ENSDARG00000006560	ENSG00000137265	IRF4
ENSDARG00000074302	ENSG00000169508	GPR183
ENSDARG00000061371	ENSG00000145526	CDH18
ENSDARG00000063574	ENSG00000101181	MTG2
ENSDARG00000086471	ENSG00000168734	PKIG
ENSDARG00000002377	ENSG00000177427	MIEF2
ENSDARG00000052129		
ENSDARG00000098029	ENSG00000175262	C1orf127
ENSDARG00000059773	ENSG00000277363	SRCIN1
ENSDARG00000095453		
ENSDARG00000056740		
ENSDARG00000033446		
ENSDARG00000077253	ENSG00000239382	ALKBH6
ENSDARG00000100694	ENSG00000118194	TNNT2
ENSDARG00000093799	ENSG00000152217	SETBP1
ENSDARG00000052851		
ENSDARG00000009844	ENSG00000158716	DUSP23
ENSDARG00000018871	ENSG00000162639	HENMT1
ENSDARG00000102608		
ENSDARG00000003818	ENSG00000181929	PRKAG1
ENSDARG00000019156		
ENSDARG00000038615	ENSG00000165782	PIP4P1
ENSDARG00000092774		
ENSDARG00000087457		
ENSDARG00000034734	ENSG00000133997	MED6
ENSDARG00000079283		
ENSDARG00000021913	ENSG00000155085	AK9
ENSDARG00000105120	ENSG00000033327	GAB2
ENSDARG00000102929	ENSG00000131943	C19orf12
ENSDARG00000073688		
ENSDARG00000090814		
ENSDARG00000027141	ENSG00000236444	UBE2L5
ENSDARG00000027141	ENSG00000185651	UBE2L3
ENSDARG00000102434		
ENSDARG00000052142	ENSG00000135503	ACVR1B
ENSDARG00000069758		
ENSDARG00000039218	ENSG00000165370	GPR101
ENSDARG00000010717	ENSG00000250479	CHCHD10
ENSDARG00000020449	ENSG00000137207	YIPF3
ENSDARG00000038792	ENSG00000283039	KLF18
ENSDARG00000038792	ENSG00000171872	KLF17
ENSDARG00000038792	ENSG00000266265	KLF14
ENSDARG00000017163		
ENSDARG00000101456		
ENSDARG00000076801	ENSG00000120318	ARAP3
ENSDARG00000003206	ENSG00000159685	CHCHD6
ENSDARG00000078686	ENSG00000143862	ARL8A
ENSDARG00000017835		
ENSDARG00000044318	ENSG00000139626	ITGB7
ENSDARG00000076025	ENSG00000149091	DGKZ
ENSDARG00000009253	ENSG00000087302	RTRAF
ENSDARG00000062549	ENSG00000153086	ACMSD
ENSDARG00000037262		
ENSDARG00000075855		
ENSDARG00000037555	ENSG00000168874	ATOH8
ENSDARG00000038976	ENSG00000090470	PDCD7
ENSDARG00000039349	ENSG00000186867	QRFPR
ENSDARG00000036588		
ENSDARG00000098257	ENSG00000150275	PCDH15
ENSDARG00000059351		
ENSDARG00000078717	ENSG00000077943	ITGA8
ENSDARG00000024219		
ENSDARG00000102612	ENSG00000139370	SLC15A4
ENSDARG00000075818	ENSG00000147443	DOK2
ENSDARG00000063006	ENSG00000105605	CACNG7
ENSDARG00000055560	ENSG00000182162	P2RY8
ENSDARG00000024771	ENSG00000188467	SLC24A5
ENSDARG00000052846	ENSG00000134363	FST
ENSDARG00000092855	ENSG00000068784	SRBD1
ENSDARG00000014024	ENSG00000156738	MS4A1
ENSDARG00000014024	ENSG00000166928	MS4A14
ENSDARG00000014024	ENSG00000204979	MS4A13
ENSDARG00000014024	ENSG00000166961	MS4A15
ENSDARG00000014024	ENSG00000166930	MS4A5
ENSDARG00000014024	ENSG00000172689	MS4A10
ENSDARG00000014024	ENSG00000110077	MS4A6A
ENSDARG00000014024	ENSG00000166926	MS4A6E
ENSDARG00000014024	ENSG00000149534	MS4A2
ENSDARG00000014024	ENSG00000214782	MS4A18
ENSDARG00000014024	ENSG00000166927	MS4A7
ENSDARG00000100531	ENSG00000114779	ABHD14B
ENSDARG00000101319		
ENSDARG00000055445	ENSG00000168065	SLC22A11
ENSDARG00000055445	ENSG00000149742	SLC22A9
ENSDARG00000055445	ENSG00000196600	SLC22A25
ENSDARG00000055445	ENSG00000197658	SLC22A24
ENSDARG00000055445	ENSG00000184999	SLC22A10
ENSDARG00000089750		
ENSDARG00000091169	ENSG00000198113	TOR4A
ENSDARG00000052010	ENSG00000166595	CIAO2B
ENSDARG00000098075	ENSG00000142669	SH3BGRL3
ENSDARG00000069595	ENSG00000183248	PRR36
ENSDARG00000093621		
ENSDARG00000045070	ENSG00000259207	ITGB3
ENSDARG00000055901	ENSG00000127954	STEAP4
ENSDARG00000093608		
ENSDARG00000023111	ENSG00000183281	PLGLB1
ENSDARG00000023111	ENSG00000125551	PLGLB2
ENSDARG00000023111	ENSG00000122194	PLG
ENSDARG00000020197	ENSG00000122406	RPL5
ENSDARG00000040930	ENSG00000155792	DEPTOR
ENSDARG00000099685	ENSG00000069966	GNB5
ENSDARG00000051729		
ENSDARG00000077778	ENSG00000163638	ADAMTS9
ENSDARG00000057227	ENSG00000164542	MATCAP2
ENSDARG00000043431	ENSG00000175711	B3GNTL1
ENSDARG00000029905	ENSG00000175287	PHYHD1
ENSDARG00000077082	ENSG00000177674	AGTRAP
ENSDARG00000077581	ENSG00000036549	ZZZ3
ENSDARG00000018593	ENSG00000138617	PARP16
ENSDARG00000079455	ENSG00000165246	NLGN4Y
ENSDARG00000079455	ENSG00000146938	NLGN4X
ENSDARG00000071648		
ENSDARG00000097063		
ENSDARG00000094616		
ENSDARG00000002509		
ENSDARG00000027826	ENSG00000130021	PUDP
ENSDARG00000010408		
ENSDARG00000054031	ENSG00000123933	MXD4
ENSDARG00000062987	ENSG00000277149	TYW1B
ENSDARG00000062987	ENSG00000198874	TYW1
ENSDARG00000004296	ENSG00000106927	AMBP
ENSDARG00000039880	ENSG00000128989	ARPP19
ENSDARG00000035860	ENSG00000233927	RPS28
ENSDARG00000041078	ENSG00000110721	CHKA
ENSDARG00000023298		
ENSDARG00000104332	ENSG00000062038	CDH3
ENSDARG00000075112	ENSG00000169836	TACR3
ENSDARG00000002219		
ENSDARG00000098889		
ENSDARG00000079391		
ENSDARG00000074306		
ENSDARG00000096588		
ENSDARG00000040021	ENSG00000147654	EBAG9
ENSDARG00000036893	ENSG00000124491	F13A1
ENSDARG00000013266	ENSG00000118004	COLEC11
ENSDARG00000071377	ENSG00000167733	HSD11B1L
ENSDARG00000025671	ENSG00000113262	GRM6
ENSDARG00000035018	ENSG00000154096	THY1
ENSDARG00000039173		
ENSDARG00000037196		
ENSDARG00000032264	ENSG00000101057	MYBL2
ENSDARG00000025325	ENSG00000154429	CCSAP
ENSDARG00000054184		
ENSDARG00000056331	ENSG00000168710	AHCYL1
ENSDARG00000102080	ENSG00000125457	MIF4GD
ENSDARG00000069888	ENSG00000189143	CLDN4
ENSDARG00000038363	ENSG00000069696	DRD4
ENSDARG00000010472	ENSG00000018625	ATP1A2
ENSDARG00000040643	ENSG00000184451	CCR10
ENSDARG00000075673	ENSG00000107863	ARHGAP21
ENSDARG00000017422	ENSG00000101474	APMAP
ENSDARG00000097032		
ENSDARG00000063390	ENSG00000130202	NECTIN2
ENSDARG00000063390	ENSG00000073008	PVR
ENSDARG00000063390	ENSG00000204475	NCR3
ENSDARG00000063390	ENSG00000181847	TIGIT
ENSDARG00000026403	ENSG00000089472	HEPH
ENSDARG00000062108	ENSG00000010295	IFFO1
ENSDARG00000042726	ENSG00000141738	GRB7
ENSDARG00000075030		
ENSDARG00000103155	ENSG00000182197	EXT1
ENSDARG00000019235		
ENSDARG00000075952		
ENSDARG00000055472	ENSG00000103274	NUBP1
ENSDARG00000088293	ENSG00000272636	DOC2B
ENSDARG00000101050	ENSG00000167895	TMC8
ENSDARG00000030867		
ENSDARG00000053383	ENSG00000177519	RPRM
ENSDARG00000056921	ENSG00000170209	ANKK1
ENSDARG00000042057	ENSG00000121486	TRMT1L
ENSDARG00000100906		
ENSDARG00000088764	ENSG00000143353	LYPLAL1
ENSDARG00000033754	ENSG00000127993	RBM48
ENSDARG00000002184	ENSG00000089289	IGBP1
ENSDARG00000002184	ENSG00000266826	IGBP1C
ENSDARG00000093450		
ENSDARG00000015681	ENSG00000105723	GSK3A
ENSDARG00000079665	ENSG00000151025	GPR158
ENSDARG00000021702		
ENSDARG00000070846	ENSG00000071626	DAZAP1
ENSDARG00000070507	ENSG00000133107	TRPC4
ENSDARG00000009754	ENSG00000058673	ZC3H11A
ENSDARG00000009754	ENSG00000215817	ZC3H11B
ENSDARG00000009754	ENSG00000165805	C12orf50
ENSDARG00000009754	ENSG00000214558	ZC3H11C
ENSDARG00000077124		
ENSDARG00000067828		
ENSDARG00000004184	ENSG00000196712	NF1
ENSDARG00000063155	ENSG00000198876	DCAF12
ENSDARG00000033444		
ENSDARG00000079453	ENSG00000104043	ATP8B4
ENSDARG00000042825	ENSG00000166439	RNF169
ENSDARG00000060036	ENSG00000164022	AIMP1
ENSDARG00000020926	ENSG00000107175	CREB3
ENSDARG00000104656	ENSG00000186567	CEACAM19
ENSDARG00000019098	ENSG00000085117	CD82
ENSDARG00000016897	ENSG00000141665	FBXO15
ENSDARG00000037962	ENSG00000136930	PSMB7
ENSDARG00000003533	ENSG00000144810	COL8A1
ENSDARG00000015566	ENSG00000119772	DNMT3A
ENSDARG00000115281		
ENSDARG00000114405		
ENSDARG00000020788	ENSG00000101082	SLA2
ENSDARG00000098428		
ENSDARG00000069245	ENSG00000132031	MATN3
ENSDARG00000004597	ENSG00000131409	LRRC4B
ENSDARG00000009350	ENSG00000144848	ATG3
ENSDARG00000010956	ENSG00000097033	SH3GLB1
ENSDARG00000099535		
ENSDARG00000100139		
ENSDARG00000076966	ENSG00000280789	PAGR1
ENSDARG00000042252	ENSG00000106682	EIF4H
ENSDARG00000042151	ENSG00000157933	SKI
ENSDARG00000018898		
ENSDARG00000004274		
ENSDARG00000018008	ENSG00000138400	MDH1B
ENSDARG00000103802		
ENSDARG00000052164	ENSG00000168813	ZNF507
ENSDARG00000071548	ENSG00000100221	JOSD1
ENSDARG00000046141	ENSG00000157895	C12orf43
ENSDARG00000036080	ENSG00000110651	CD81
ENSDARG00000041802	ENSG00000110315	RNF141
ENSDARG00000071679	ENSG00000074842	MYDGF
ENSDARG00000079438	ENSG00000184363	PKP3
ENSDARG00000086457	ENSG00000185361	TNFAIP8L1
ENSDARG00000032552	ENSG00000198060	MARCHF5
ENSDARG00000101910		
ENSDARG00000058815	ENSG00000139549	DHH
ENSDARG00000013076	ENSG00000168283	BMI1
ENSDARG00000044626	ENSG00000137500	CCDC90B
ENSDARG00000015862	ENSG00000122406	RPL5
ENSDARG00000096017		
ENSDARG00000014790	ENSG00000138757	G3BP2
ENSDARG00000071396	ENSG00000204152	TIMM23B
ENSDARG00000071396	ENSG00000265354	TIMM23
ENSDARG00000061791	ENSG00000188937	NYX
ENSDARG00000068993		
ENSDARG00000075072	ENSG00000103932	RPAP1
ENSDARG00000056531	ENSG00000102898	NUTF2
ENSDARG00000011240	ENSG00000118096	IFT46
ENSDARG00000061185	ENSG00000122390	NAA60
ENSDARG00000059423	ENSG00000106772	PRUNE2
ENSDARG00000036787		
ENSDARG00000045857	ENSG00000115816	CEBPZ
ENSDARG00000077299	ENSG00000139131	YARS2
ENSDARG00000033134	ENSG00000003509	NDUFAF7
ENSDARG00000004433	ENSG00000010671	BTK
ENSDARG00000002994	ENSG00000086544	ITPKC
ENSDARG00000022177	ENSG00000118197	DDX59
ENSDARG00000036382		
ENSDARG00000030311	ENSG00000149488	TMC2
ENSDARG00000003420	ENSG00000169684	CHRNA5
ENSDARG00000060124	ENSG00000126768	TIMM17B
ENSDARG00000045874	ENSG00000127337	YEATS4
ENSDARG00000075666	ENSG00000157514	TSC22D3
ENSDARG00000044895	ENSG00000122176	FMOD
ENSDARG00000041546	ENSG00000136732	GYPC
ENSDARG00000045691	ENSG00000139168	ZCRB1
ENSDARG00000098652	ENSG00000099715	PCDH11Y
ENSDARG00000098652	ENSG00000102290	PCDH11X
ENSDARG00000017675	ENSG00000141076	UTP4
ENSDARG00000089513		
ENSDARG00000096118	ENSG00000228474	OST4
ENSDARG00000087814	ENSG00000235718	MFRP
ENSDARG00000101715	ENSG00000141337	ARSG
ENSDARG00000022918	ENSG00000124659	TBCC
ENSDARG00000068602	ENSG00000178149	DALRD3
ENSDARG00000002912	ENSG00000159346	ADIPOR1
ENSDARG00000103395	ENSG00000116871	MAP7D1
ENSDARG00000079377	ENSG00000236699	ARHGEF38
ENSDARG00000016345	ENSG00000124160	NCOA5
ENSDARG00000091317		
ENSDARG00000096726		
ENSDARG00000070847		
ENSDARG00000004034	ENSG00000242173	ARHGDIG
ENSDARG00000000474	ENSG00000159173	TNNI1
ENSDARG00000054597	ENSG00000138767	CNOT6L
ENSDARG00000058695	ENSG00000162733	DDR2
ENSDARG00000099189		
ENSDARG00000012467	ENSG00000166145	SPINT1
ENSDARG00000012467	ENSG00000158901	WFDC8
ENSDARG00000012467	ENSG00000120256	LRP11
ENSDARG00000012467	ENSG00000149651	SPINT4
ENSDARG00000012467	ENSG00000101448	EPPIN
ENSDARG00000012467	ENSG00000243543	WFDC6
ENSDARG00000067566	ENSG00000178597	PSAPL1
ENSDARG00000067566	ENSG00000168878	SFTPB
ENSDARG00000058696	ENSG00000177565	TBL1XR1
ENSDARG00000007383	ENSG00000099337	KCNK6
ENSDARG00000063036	ENSG00000146005	PSD2
ENSDARG00000093079	ENSG00000115718	PROC
ENSDARG00000019004	ENSG00000066117	SMARCD1
ENSDARG00000073704	ENSG00000165507	DEPP1
ENSDARG00000057887	ENSG00000133636	NTS
ENSDARG00000045378	ENSG00000137558	PI15
ENSDARG00000043757	ENSG00000119314	PTBP3
ENSDARG00000017537	ENSG00000115592	PRKAG3
ENSDARG00000094146		
ENSDARG00000012942	ENSG00000082781	ITGB5
ENSDARG00000068934	ENSG00000138061	CYP1B1
ENSDARG00000104129		
ENSDARG00000074156	ENSG00000108823	SGCA
ENSDARG00000052019		
ENSDARG00000058587	ENSG00000249961	TERB1
ENSDARG00000017860		
ENSDARG00000075996		
ENSDARG00000067507	ENSG00000183783	KCTD8
ENSDARG00000070644	ENSG00000124120	TTPAL
ENSDARG00000037935	ENSG00000161618	ALDH16A1
ENSDARG00000043664	ENSG00000168398	BDKRB2
ENSDARG00000101047	ENSG00000100220	RTCB
ENSDARG00000005754	ENSG00000142949	PTPRF
ENSDARG00000101217		
ENSDARG00000062142	ENSG00000067221	STOML1
ENSDARG00000052361	ENSG00000164136	IL15
ENSDARG00000004580	ENSG00000157064	NMNAT2
ENSDARG00000038066	ENSG00000182481	KPNA2
ENSDARG00000001933		
ENSDARG00000055713	ENSG00000184922	FMNL1
ENSDARG00000040352	ENSG00000005469	CROT
ENSDARG00000040705	ENSG00000115419	GLS
ENSDARG00000095863		
ENSDARG00000040985	ENSG00000198542	ITGBL1
ENSDARG00000020610	ENSG00000118194	TNNT2
ENSDARG00000093781		
ENSDARG00000035471		
ENSDARG00000116254		
ENSDARG00000074166	ENSG00000115760	BIRC6
ENSDARG00000091633		
ENSDARG00000096359		
ENSDARG00000002333	ENSG00000162636	EEIG2
ENSDARG00000070626	ENSG00000142408	CACNG8
ENSDARG00000071143	ENSG00000112763	BTN2A1
ENSDARG00000052701	ENSG00000135587	SMPD2
ENSDARG00000058127	ENSG00000162755	KLHDC9
ENSDARG00000100823	ENSG00000113811	SELENOK
ENSDARG00000055855		
ENSDARG00000043697		
ENSDARG00000054331	ENSG00000104415	CCN4
ENSDARG00000038793	ENSG00000159214	CCDC24
ENSDARG00000063677	ENSG00000108100	CCNY
ENSDARG00000076748		
ENSDARG00000001559	ENSG00000117322	CR2
ENSDARG00000044059	ENSG00000143768	LEFTY2
ENSDARG00000044059	ENSG00000243709	LEFTY1
ENSDARG00000008200	ENSG00000169764	UGP2
ENSDARG00000024189	ENSG00000168081	PNOC
ENSDARG00000103498	ENSG00000086289	EPDR1
ENSDARG00000059459	ENSG00000168887	C2orf68
ENSDARG00000042000		
ENSDARG00000010601	ENSG00000166912	MTMR10
ENSDARG00000078474	ENSG00000091536	MYO15A
ENSDARG00000057863	ENSG00000142182	DNMT3L
ENSDARG00000013110	ENSG00000158856	DMTN
ENSDARG00000098228	ENSG00000054118	THRAP3
ENSDARG00000038967	ENSG00000036257	CUL3
ENSDARG00000009372	ENSG00000176490	DIRAS1
ENSDARG00000021811	ENSG00000178363	CALML3
ENSDARG00000021811	ENSG00000160014	CALM3
ENSDARG00000036064	ENSG00000205423	CNEP1R1
ENSDARG00000077040	ENSG00000132669	RIN2
ENSDARG00000098934	ENSG00000189306	RRP7A
ENSDARG00000005772	ENSG00000158526	TSR2
ENSDARG00000103226	ENSG00000172893	DHCR7
ENSDARG00000021590	ENSG00000187391	MAGI2
ENSDARG00000101190		
ENSDARG00000033950		
ENSDARG00000005271		
ENSDARG00000094370	ENSG00000172016	REG3A
ENSDARG00000094370	ENSG00000143954	REG3G
ENSDARG00000094370	ENSG00000115386	REG1A
ENSDARG00000094370	ENSG00000172023	REG1B
ENSDARG00000021369	ENSG00000124089	MC3R
ENSDARG00000009748	ENSG00000169598	DFFB
ENSDARG00000096546		
ENSDARG00000044264		
ENSDARG00000002194	ENSG00000188672	RHCE
ENSDARG00000002194	ENSG00000187010	RHD
ENSDARG00000101222	ENSG00000181817	LSM10
ENSDARG00000069199		
ENSDARG00000057869		
ENSDARG00000103024		
ENSDARG00000016811	ENSG00000143624	INTS3
ENSDARG00000006370	ENSG00000047249	ATP6V1H
ENSDARG00000089885	ENSG00000152779	SLC16A12
ENSDARG00000068221	ENSG00000165471	MBL2
ENSDARG00000075853	ENSG00000147010	SH3KBP1
ENSDARG00000093546	ENSG00000156738	MS4A1
ENSDARG00000093546	ENSG00000166928	MS4A14
ENSDARG00000093546	ENSG00000204979	MS4A13
ENSDARG00000093546	ENSG00000166961	MS4A15
ENSDARG00000093546	ENSG00000166930	MS4A5
ENSDARG00000093546	ENSG00000172689	MS4A10
ENSDARG00000093546	ENSG00000110077	MS4A6A
ENSDARG00000093546	ENSG00000166926	MS4A6E
ENSDARG00000093546	ENSG00000149534	MS4A2
ENSDARG00000093546	ENSG00000214782	MS4A18
ENSDARG00000093546	ENSG00000166927	MS4A7
ENSDARG00000075560	ENSG00000055609	KMT2C
ENSDARG00000092463	ENSG00000005486	RHBDD2
ENSDARG00000035741	ENSG00000108528	SLC25A11
ENSDARG00000076530		
ENSDARG00000070787	ENSG00000173801	JUP
ENSDARG00000007024		
ENSDARG00000094709	ENSG00000165997	ARL5B
ENSDARG00000069765	ENSG00000197283	SYNGAP1
ENSDARG00000058503		
ENSDARG00000062521	ENSG00000166377	ATP9B
ENSDARG00000020656		
ENSDARG00000074815		
ENSDARG00000067824	ENSG00000154529	CNTNAP3B
ENSDARG00000067824	ENSG00000283378	CNTNAP3C
ENSDARG00000067824	ENSG00000106714	CNTNAP3
ENSDARG00000068894	ENSG00000180530	NRIP1
ENSDARG00000090106	ENSG00000104888	SLC17A7
ENSDARG00000088639		
ENSDARG00000069515	ENSG00000179941	BBS10
ENSDARG00000022718	ENSG00000118412	CASP8AP2
ENSDARG00000033144	ENSG00000100911	PSME2
ENSDARG00000070513	ENSG00000096070	BRPF3
ENSDARG00000021021		
ENSDARG00000062995		
ENSDARG00000014053	ENSG00000130558	OLFM1
ENSDARG00000077560	ENSG00000161509	GRIN2C
ENSDARG00000086699		
ENSDARG00000099448	ENSG00000214193	SH3D21
ENSDARG00000043554	ENSG00000185608	MRPL40
ENSDARG00000103494	ENSG00000154914	USP43
ENSDARG00000104472		
ENSDARG00000061191	ENSG00000023902	PLEKHO1
ENSDARG00000025693	ENSG00000175348	TMEM9B
ENSDARG00000068261	ENSG00000184500	PROS1
ENSDARG00000017294	ENSG00000114353	GNAI2
ENSDARG00000012353	ENSG00000106018	VIPR2
ENSDARG00000007825	ENSG00000169032	MAP2K1
ENSDARG00000012586	ENSG00000157827	FMNL2
ENSDARG00000043643	ENSG00000115504	EHBP1
ENSDARG00000034309	ENSG00000006695	COX10
ENSDARG00000002285	ENSG00000090674	MCOLN1
ENSDARG00000015921	ENSG00000136045	PWP1
ENSDARG00000091624	ENSG00000135220	UGT2A3
ENSDARG00000091624	ENSG00000167165	UGT1A6
ENSDARG00000091624	ENSG00000241119	UGT1A9
ENSDARG00000091624	ENSG00000242366	UGT1A8
ENSDARG00000091624	ENSG00000242515	UGT1A10
ENSDARG00000091624	ENSG00000244122	UGT1A7
ENSDARG00000091624	ENSG00000197888	UGT2B17
ENSDARG00000091624	ENSG00000196620	UGT2B15
ENSDARG00000091624	ENSG00000145626	UGT3A1
ENSDARG00000091624	ENSG00000288702	UGT1A3
ENSDARG00000091624	ENSG00000288705	UGT1A5
ENSDARG00000091624	ENSG00000244474	UGT1A4
ENSDARG00000091624	ENSG00000109181	UGT2B10
ENSDARG00000091624	ENSG00000135226	UGT2B28
ENSDARG00000091624	ENSG00000213759	UGT2B11
ENSDARG00000091624	ENSG00000271271	UGT2A2
ENSDARG00000091624	ENSG00000173610	UGT2A1
ENSDARG00000091624	ENSG00000171234	UGT2B7
