Gene stable ID	Gene name	Transcript stable ID	RefSeq mRNA predicted ID	Protein stable ID
ENSDARG00000013251	hsf4	ENSDART00000181589	XM_009293553	ENSDARP00000150156
ENSDARG00000013251	hsf4	ENSDART00000181589	XM_021467640	ENSDARP00000150156
ENSDARG00000039365	cuedc2	ENSDART00000123482	XM_005156782	ENSDARP00000107612
ENSDARG00000007601	zmynd8	ENSDART00000171183	XM_021479798	ENSDARP00000137232
ENSDARG00000007601	zmynd8	ENSDART00000171183	XM_687794	ENSDARP00000137232
ENSDARG00000018066	ptchd1	ENSDART00000151915	XM_685662	ENSDARP00000126544
ENSDARG00000100594	SEZ6L	ENSDART00000190331	XM_005155435	ENSDARP00000147774
ENSDARG00000100594	SEZ6L	ENSDART00000190331	XM_002663663	ENSDARP00000147774
ENSDARG00000045299	vmo1b	ENSDART00000066621	XM_001332828	ENSDARP00000066620
ENSDARG00000015015	tspan18b	ENSDART00000141835	XM_005159172	ENSDARP00000122179
ENSDARG00000015015	tspan18b	ENSDART00000141835	XM_017351914	ENSDARP00000122179
ENSDARG00000015015	tspan18b	ENSDART00000141835	XM_005159173	ENSDARP00000122179
ENSDARG00000057013	cadm3	ENSDART00000079596	XM_021481265	ENSDARP00000074048
ENSDARG00000005775	scn8aa	ENSDART00000022042	XM_021469842	ENSDARP00000024690
ENSDARG00000005775	scn8aa	ENSDART00000022042	XM_021469841	ENSDARP00000024690
ENSDARG00000005775	scn8aa	ENSDART00000022042	XM_021469843	ENSDARP00000024690
ENSDARG00000005775	scn8aa	ENSDART00000022042	XM_009296871	ENSDARP00000024690
ENSDARG00000005775	scn8aa	ENSDART00000022042	XM_009296874	ENSDARP00000024690
ENSDARG00000005775	scn8aa	ENSDART00000022042	XM_005162268	ENSDARP00000024690
ENSDARG00000057013	cadm3	ENSDART00000111246	XM_009298778	ENSDARP00000097497
ENSDARG00000057013	cadm3	ENSDART00000111246	XM_005171391	ENSDARP00000097497
ENSDARG00000088316	lrrc69	ENSDART00000130984	XM_005159663	ENSDARP00000110106
ENSDARG00000088316	lrrc69	ENSDART00000130984	XM_009294332	ENSDARP00000110106
ENSDARG00000007601	zmynd8	ENSDART00000180565	XM_021479797	ENSDARP00000145604
ENSDARG00000073707	cnksr2b	ENSDART00000110923	XM_682101	ENSDARP00000103132
ENSDARG00000073707	cnksr2b	ENSDART00000110923	XM_009295430	ENSDARP00000103132
ENSDARG00000059855	cfap251	ENSDART00000083665	XM_021476572	ENSDARP00000078100
ENSDARG00000100083	sugt1	ENSDART00000180692	XM_021473696	ENSDARP00000148100
ENSDARG00000071457	crp6	ENSDART00000105666	XM_009297633	ENSDARP00000096443
ENSDARG00000088571	mtcl3a	ENSDART00000145368	XM_017351457	ENSDARP00000118055
ENSDARG00000089645	si:ch1073-406l10.2	ENSDART00000124938	XM_003201328	ENSDARP00000109328
ENSDARG00000044808	slc4a4b	ENSDART00000048399	XM_009295136	ENSDARP00000048398
ENSDARG00000044808	slc4a4b	ENSDART00000048399	XM_009295135	ENSDARP00000048398
ENSDARG00000044808	slc4a4b	ENSDART00000048399	XM_005160996	ENSDARP00000048398
ENSDARG00000044808	slc4a4b	ENSDART00000048399	XM_685028	ENSDARP00000048398
ENSDARG00000088571	mtcl3a	ENSDART00000189704	XM_009292035	ENSDARP00000154214
ENSDARG00000063311	mtcl3a	ENSDART00000156685	XM_021466812	ENSDARP00000129239
ENSDARG00000063311	mtcl3a	ENSDART00000156685	XM_021466813	ENSDARP00000129239
ENSDARG00000063311	mtcl3a	ENSDART00000156685	XM_005157844	ENSDARP00000129239
ENSDARG00000095946	si:ch73-341k19.1	ENSDART00000150005	XM_003200132	ENSDARP00000138026
ENSDARG00000095946	si:ch73-341k19.1	ENSDART00000150005	XM_021466847	ENSDARP00000138026
ENSDARG00000095946	si:ch73-341k19.1	ENSDART00000150005	XM_005157865	ENSDARP00000138026
ENSDARG00000004953	mxb	ENSDART00000110696	XM_009305797	ENSDARP00000100431
ENSDARG00000076213	dock4	ENSDART00000152011	XM_005170698	ENSDARP00000126386
ENSDARG00000087835		ENSDART00000137552	XM_700376	ENSDARP00000116673
ENSDARG00000098237	fbn2b	ENSDART00000167748	XM_021469374	ENSDARP00000134527
ENSDARG00000030156	naglu	ENSDART00000048046	XM_683516	ENSDARP00000048045
ENSDARG00000030156	naglu	ENSDART00000048046	XM_021470385	ENSDARP00000048045
ENSDARG00000077996	CDH24	ENSDART00000159066	XM_021467808	ENSDARP00000135839
ENSDARG00000077996	CDH24	ENSDART00000159066	XM_021467806	ENSDARP00000135839
ENSDARG00000077996	CDH24	ENSDART00000159066	XM_021467811	ENSDARP00000135839
ENSDARG00000077996	CDH24	ENSDART00000159066	XM_017350964	ENSDARP00000135839
ENSDARG00000042807	slc16a4	ENSDART00000148872	XM_005167048	ENSDARP00000124983
ENSDARG00000031283	vamp1a	ENSDART00000137505	XM_005159424	ENSDARP00000117256
ENSDARG00000061194	hectd2	ENSDART00000086984	XM_009306551	ENSDARP00000081418
ENSDARG00000061194	hectd2	ENSDART00000086984	XM_686363	ENSDARP00000081418
ENSDARG00000090889	lect2.2	ENSDART00000124159	XM_001332939	ENSDARP00000109049
ENSDARG00000023053	niban1b	ENSDART00000099690	XM_684820	ENSDARP00000090464
ENSDARG00000097406	si:dkey-81e3.2	ENSDART00000155832	XM_021470689	ENSDARP00000129440
ENSDARG00000058231	nt5c2b	ENSDART00000065125	XM_021474993	ENSDARP00000065124
ENSDARG00000058231	nt5c2b	ENSDART00000065125	XM_005168392	ENSDARP00000065124
ENSDARG00000058231	nt5c2b	ENSDART00000065125	XM_021474992	ENSDARP00000065124
ENSDARG00000105068	si:ch1073-443f11.2	ENSDART00000170318	XM_021469225	ENSDARP00000131548
ENSDARG00000061864	hdlbpb	ENSDART00000153055	XM_021480308	ENSDARP00000127252
ENSDARG00000070959	si:ch211-288g17.3	ENSDART00000139385	XM_701324	ENSDARP00000118910
ENSDARG00000102585		ENSDART00000164646	XM_002666571	ENSDARP00000130306
ENSDARG00000070127	nfxl1	ENSDART00000149088	XM_002666544	ENSDARP00000124661
ENSDARG00000002508	ankrd33ab	ENSDART00000023686	XM_021477211	ENSDARP00000020482
ENSDARG00000074056	kctd1	ENSDART00000111063	XM_005160473	ENSDARP00000098598
ENSDARG00000035427	surf6	ENSDART00000051344	XM_005171804	ENSDARP00000051343
ENSDARG00000062562	egln2	ENSDART00000152603	XM_682924	ENSDARP00000126905
ENSDARG00000041429	ints14	ENSDART00000060731	XM_005159052	ENSDARP00000060730
ENSDARG00000074056	kctd1	ENSDART00000189225	XM_009294626	ENSDARP00000157270
ENSDARG00000076014	ERC1	ENSDART00000148440	XM_021471500	ENSDARP00000124740
ENSDARG00000076014	ERC1	ENSDART00000027829	XM_009300098	ENSDARP00000027310
ENSDARG00000076014	ERC1	ENSDART00000027829	XM_017355259	ENSDARP00000027310
ENSDARG00000076014	ERC1	ENSDART00000027829	XM_021475211	ENSDARP00000027310
ENSDARG00000076014	ERC1	ENSDART00000027829	XM_021475210	ENSDARP00000027310
ENSDARG00000076014	ERC1	ENSDART00000027829	XM_021475213	ENSDARP00000027310
ENSDARG00000076014	ERC1	ENSDART00000027829	XM_017355258	ENSDARP00000027310
ENSDARG00000076014	ERC1	ENSDART00000027829	XM_021475209	ENSDARP00000027310
ENSDARG00000076014	ERC1	ENSDART00000027829	XM_021475212	ENSDARP00000027310
ENSDARG00000076014	ERC1	ENSDART00000027829	XM_017355255	ENSDARP00000027310
ENSDARG00000103738		ENSDART00000164056	XM_009292632	
ENSDARG00000086327	srrm4	ENSDART00000127015	XM_021476416	ENSDARP00000136286
ENSDARG00000086327	srrm4	ENSDART00000127015	XM_021476415	ENSDARP00000136286
ENSDARG00000025346	znf277	ENSDART00000148920	XM_021470463	ENSDARP00000124096
ENSDARG00000075556	luzp1	ENSDART00000155838	XM_009293139	ENSDARP00000129096
ENSDARG00000075556	luzp1	ENSDART00000155838	XM_681835	ENSDARP00000129096
ENSDARG00000044924	gdf11	ENSDART00000066033	XM_005155799	ENSDARP00000066032
ENSDARG00000062146	larp4b	ENSDART00000089506	XM_005162803	ENSDARP00000083939
ENSDARG00000062146	larp4b	ENSDART00000089506	XM_021470200	ENSDARP00000083939
ENSDARG00000062146	larp4b	ENSDART00000089506	XM_021470196	ENSDARP00000083939
ENSDARG00000062146	larp4b	ENSDART00000089506	XM_021470198	ENSDARP00000083939
ENSDARG00000062146	larp4b	ENSDART00000089506	XM_021470197	ENSDARP00000083939
ENSDARG00000062146	larp4b	ENSDART00000089506	XM_021470201	ENSDARP00000083939
ENSDARG00000062146	larp4b	ENSDART00000089506	XM_021470199	ENSDARP00000083939
ENSDARG00000068515	chs1	ENSDART00000099131	XM_009307025	ENSDARP00000089905
ENSDARG00000060008	HHIPL2	ENSDART00000084102	XM_683781	ENSDARP00000078537
ENSDARG00000005616	bfb	ENSDART00000003508	XM_021468750	ENSDARP00000023622
ENSDARG00000069504		ENSDART00000101216	XM_001341690	ENSDARP00000091990
ENSDARG00000078954	rxrba	ENSDART00000136528	XM_009294026	ENSDARP00000119017
ENSDARG00000078954	rxrba	ENSDART00000136528	XM_021467983	ENSDARP00000119017
ENSDARG00000105631	CABP4	ENSDART00000189926	XM_021477646	ENSDARP00000153478
ENSDARG00000078954	rxrba	ENSDART00000102075	XM_005159411	ENSDARP00000125725
ENSDARG00000078954	rxrba	ENSDART00000102075	XM_009294025	ENSDARP00000125725
ENSDARG00000078954	rxrba	ENSDART00000102075	XM_009294022	ENSDARP00000125725
ENSDARG00000078954	rxrba	ENSDART00000102075	XM_009294024	ENSDARP00000125725
ENSDARG00000078954	rxrba	ENSDART00000102075	XM_005159410	ENSDARP00000125725
ENSDARG00000078954	rxrba	ENSDART00000102075	XM_009294023	ENSDARP00000125725
ENSDARG00000078954	rxrba	ENSDART00000102075	XM_005159412	ENSDARP00000125725
ENSDARG00000094886	si:dkey-266f7.5	ENSDART00000146649	XM_021467962	ENSDARP00000125630
ENSDARG00000094886	si:dkey-266f7.5	ENSDART00000146649	XM_017352166	ENSDARP00000125630
ENSDARG00000096528		ENSDART00000186199	XM_017355858	ENSDARP00000155888
ENSDARG00000036215	lcp2b	ENSDART00000131424	XM_021481228	ENSDARP00000114198
ENSDARG00000036215	lcp2b	ENSDART00000131424	XM_021481229	ENSDARP00000114198
ENSDARG00000036215	lcp2b	ENSDART00000131424	XM_021481227	ENSDARP00000114198
ENSDARG00000074617	wfs1b	ENSDART00000148789	XM_679418	ENSDARP00000124957
ENSDARG00000074617	wfs1b	ENSDART00000148789	XM_021481141	ENSDARP00000124957
ENSDARG00000070467	lactbl1b	ENSDART00000103450	XM_690492	ENSDARP00000094226
ENSDARG00000070467	lactbl1b	ENSDART00000103450	XM_009306092	ENSDARP00000094226
ENSDARG00000070467	lactbl1b	ENSDART00000177182	XM_009306093	ENSDARP00000144348
ENSDARG00000013252	tmc5	ENSDART00000114552	XM_009299436	ENSDARP00000101972
ENSDARG00000013252	tmc5	ENSDART00000114552	XM_005163920	ENSDARP00000101972
ENSDARG00000039123	trim9	ENSDART00000048739	XM_005156983	ENSDARP00000048738
ENSDARG00000039123	trim9	ENSDART00000048739	XM_005156986	ENSDARP00000048738
ENSDARG00000039123	trim9	ENSDART00000048739	XM_005156984	ENSDARP00000048738
ENSDARG00000094886	si:dkey-266f7.5	ENSDART00000140053	XM_009294014	ENSDARP00000116741
ENSDARG00000002582	tbx15	ENSDART00000180257	XM_021478599	ENSDARP00000152168
ENSDARG00000030804	fam120b	ENSDART00000162738	XM_005169513	ENSDARP00000138040
ENSDARG00000062326	hmgn7	ENSDART00000145477	XM_005165181	ENSDARP00000113935
ENSDARG00000103471	zgc:173716	ENSDART00000164555	XM_003198335	ENSDARP00000131328
ENSDARG00000041431	slc24a1	ENSDART00000135729	XM_021467798	ENSDARP00000114470
ENSDARG00000041431	slc24a1	ENSDART00000135729	XM_021467797	ENSDARP00000114470
ENSDARG00000071487	zgc:152948	ENSDART00000105736	XM_005170245	ENSDARP00000096514
ENSDARG00000071487	zgc:152948	ENSDART00000105736	XM_005170246	ENSDARP00000096514
ENSDARG00000071487	zgc:152948	ENSDART00000105736	XM_005170247	ENSDARP00000096514
ENSDARG00000041431	slc24a1	ENSDART00000184217	XM_021467799	ENSDARP00000147829
ENSDARG00000091799	fam217bb	ENSDART00000121537	XM_005172766	ENSDARP00000107667
ENSDARG00000005544	btbd3a	ENSDART00000014970	XM_005168206	ENSDARP00000012365
ENSDARG00000061187	cbx5	ENSDART00000142760	XM_021469820	ENSDARP00000120917
ENSDARG00000037537	ccnq	ENSDART00000054659	XM_009296734	ENSDARP00000054658
ENSDARG00000104854	olfcg3	ENSDART00000167901	XM_017351889	ENSDARP00000132226
ENSDARG00000104854	olfcg3	ENSDART00000167901	XM_009293668	ENSDARP00000132226
ENSDARG00000075156	TBC1D4	ENSDART00000143766	XM_005167776	ENSDARP00000114595
ENSDARG00000075156	TBC1D4	ENSDART00000143766	XM_005167775	ENSDARP00000114595
ENSDARG00000075156	TBC1D4	ENSDART00000143766	XM_005167777	ENSDARP00000114595
ENSDARG00000075156	TBC1D4	ENSDART00000143766	XM_002663395	ENSDARP00000114595
ENSDARG00000075156	TBC1D4	ENSDART00000143766	XM_009304787	ENSDARP00000114595
ENSDARG00000035648	irx4a	ENSDART00000051693	XM_021466666	ENSDARP00000051692
ENSDARG00000091954		ENSDART00000136326	XM_005161696	ENSDARP00000116515
ENSDARG00000062111	rxfp3.3a2	ENSDART00000115222	XM_001921000	ENSDARP00000098976
ENSDARG00000071074		ENSDART00000104859	XM_009297709	ENSDARP00000095629
ENSDARG00000093116		ENSDART00000140224	XM_003201019	ENSDARP00000119741
ENSDARG00000022160	ttc23	ENSDART00000090100	XM_003200452	ENSDARP00000084533
ENSDARG00000022160	ttc23	ENSDART00000090100	XM_005159155	ENSDARP00000084533
ENSDARG00000075456	pik3ca	ENSDART00000158616	XM_009306176	ENSDARP00000138914
ENSDARG00000087032	rbbp8l	ENSDART00000135551	XM_005174119	ENSDARP00000122644
ENSDARG00000021163	thrb	ENSDART00000151766	XM_021467987	ENSDARP00000126275
ENSDARG00000021163	thrb	ENSDART00000151766	XM_021467986	ENSDARP00000126275
ENSDARG00000021163	thrb	ENSDART00000151766	XM_021467988	ENSDARP00000126275
ENSDARG00000021163	thrb	ENSDART00000151766	XM_021467989	ENSDARP00000126275
ENSDARG00000021163	thrb	ENSDART00000151766	XM_021467985	ENSDARP00000126275
ENSDARG00000021163	thrb	ENSDART00000151766	XM_021467990	ENSDARP00000126275
ENSDARG00000075456	pik3ca	ENSDART00000114004	XM_009306177	ENSDARP00000103176
ENSDARG00000075456	pik3ca	ENSDART00000114004	XM_021479874	ENSDARP00000103176
ENSDARG00000103057	zfhx3b	ENSDART00000167440	XM_021478050	ENSDARP00000138913
ENSDARG00000103057	zfhx3b	ENSDART00000167440	XM_021478047	ENSDARP00000138913
ENSDARG00000103057	zfhx3b	ENSDART00000167440	XM_021478049	ENSDARP00000138913
ENSDARG00000103057	zfhx3b	ENSDART00000167440	XM_021478051	ENSDARP00000138913
ENSDARG00000103057	zfhx3b	ENSDART00000167440	XM_021478048	ENSDARP00000138913
ENSDARG00000103057	zfhx3b	ENSDART00000167440	XM_021478052	ENSDARP00000138913
ENSDARG00000040254	hormad1	ENSDART00000058888	XM_021466675	ENSDARP00000058887
ENSDARG00000101300	ssna1	ENSDART00000158069	XM_005165496	ENSDARP00000131337
ENSDARG00000077686	aak1b	ENSDART00000058622	XM_021479462	ENSDARP00000058621
ENSDARG00000077686	aak1b	ENSDART00000058622	XM_009305654	ENSDARP00000058621
ENSDARG00000077686	aak1b	ENSDART00000058622	XM_009305657	ENSDARP00000058621
ENSDARG00000077686	aak1b	ENSDART00000058622	XM_009305655	ENSDARP00000058621
ENSDARG00000077686	aak1b	ENSDART00000058622	XM_009305653	ENSDARP00000058621
ENSDARG00000077686	aak1b	ENSDART00000058622	XM_009305658	ENSDARP00000058621
ENSDARG00000023645	surf6	ENSDART00000004797	XM_005171922	ENSDARP00000019368
ENSDARG00000023645	surf6	ENSDART00000004797	XM_005171923	ENSDARP00000019368
ENSDARG00000054975	cxcr2	ENSDART00000077260	XM_017357899	ENSDARP00000071727
ENSDARG00000094125	or30bt2	ENSDART00000145885	XM_009291650	ENSDARP00000113206
ENSDARG00000062801	erfl3	ENSDART00000091183	XM_689171	ENSDARP00000085616
ENSDARG00000068716	cuedc1a	ENSDART00000131777	XM_009305565	ENSDARP00000116146
ENSDARG00000068716	cuedc1a	ENSDART00000131777	XM_005169169	ENSDARP00000116146
ENSDARG00000068716	cuedc1a	ENSDART00000131777	XM_009305563	ENSDARP00000116146
ENSDARG00000021163	thrb	ENSDART00000189391	XM_005159502	ENSDARP00000152808
ENSDARG00000021163	thrb	ENSDART00000189391	XM_021467984	ENSDARP00000152808
ENSDARG00000021163	thrb	ENSDART00000189391	XM_005159501	ENSDARP00000152808
ENSDARG00000055781	ptger3	ENSDART00000085498	XM_009302523	ENSDARP00000079933
ENSDARG00000055781	ptger3	ENSDART00000085498	XM_017356646	ENSDARP00000079933
ENSDARG00000055781	ptger3	ENSDART00000085498	XM_021477190	ENSDARP00000079933
ENSDARG00000035540		ENSDART00000020434	XM_009301411	ENSDARP00000027753
ENSDARG00000035540		ENSDART00000020434	XM_009301410	ENSDARP00000027753
ENSDARG00000073870	gdpd2	ENSDART00000186403	XM_686560	ENSDARP00000149419
ENSDARG00000073870	gdpd2	ENSDART00000186403	XM_009291196	ENSDARP00000149419
ENSDARG00000073870	gdpd2	ENSDART00000186403	XM_005173284	ENSDARP00000149419
ENSDARG00000073870	gdpd2	ENSDART00000186403	XM_021481215	ENSDARP00000149419
ENSDARG00000104807	si:ch73-221f6.3	ENSDART00000162460	XM_017357165	ENSDARP00000141221
ENSDARG00000061120	slc43a2b	ENSDART00000180013	XM_009305270	ENSDARP00000156564
ENSDARG00000073870	gdpd2	ENSDART00000111397	XM_005173285	ENSDARP00000100472
ENSDARG00000075795	nol7	ENSDART00000109460	XM_682189	ENSDARP00000097767
ENSDARG00000101102		ENSDART00000165889	XM_005165497	ENSDARP00000133185
ENSDARG00000078162		ENSDART00000150457	XM_021467066	ENSDARP00000125567
ENSDARG00000095324	galnt8b.2	ENSDART00000140613	XM_003198224	ENSDARP00000121474
ENSDARG00000095324	galnt8b.2	ENSDART00000140613	XM_021475412	ENSDARP00000121474
ENSDARG00000038863	babam2	ENSDART00000056742	XM_021467158	ENSDARP00000056741
ENSDARG00000095324	galnt8b.2	ENSDART00000147711	XM_009300030	ENSDARP00000112807
ENSDARG00000035821	zmym4.2	ENSDART00000143966	XM_005159701	ENSDARP00000123193
ENSDARG00000035821	zmym4.2	ENSDART00000143966	XM_005159702	ENSDARP00000123193
ENSDARG00000035821	zmym4.2	ENSDART00000143966	XM_005159704	ENSDARP00000123193
ENSDARG00000035821	zmym4.2	ENSDART00000143966	XM_005159700	ENSDARP00000123193
ENSDARG00000035821	zmym4.2	ENSDART00000143966	XM_005159703	ENSDARP00000123193
ENSDARG00000035821	zmym4.2	ENSDART00000143966	XM_005159705	ENSDARP00000123193
ENSDARG00000035821	zmym4.2	ENSDART00000143966	XM_005159706	ENSDARP00000123193
ENSDARG00000035821	zmym4.2	ENSDART00000143966	XM_005159699	ENSDARP00000123193
ENSDARG00000068716	cuedc1a	ENSDART00000114909	XM_005169171	ENSDARP00000100672
ENSDARG00000094025		ENSDART00000143869	XM_009301407	ENSDARP00000137159
ENSDARG00000094025		ENSDART00000143869	XM_005165217	ENSDARP00000137159
ENSDARG00000076248	ppp1r3db	ENSDART00000157042	XM_003199401	ENSDARP00000129035
ENSDARG00000042520	UTP14A	ENSDART00000128050	XM_005165628	ENSDARP00000105713
ENSDARG00000071662		ENSDART00000145821	XM_003200973	ENSDARP00000115240
ENSDARG00000078475	klhl23	ENSDART00000180264	XM_682971	ENSDARP00000155101
ENSDARG00000078475	klhl23	ENSDART00000180264	XM_005169133	ENSDARP00000155101
ENSDARG00000055837	arhgef1b	ENSDART00000139355	XM_021466701	ENSDARP00000120441
ENSDARG00000055837	arhgef1b	ENSDART00000139355	XM_021466703	ENSDARP00000120441
ENSDARG00000055837	arhgef1b	ENSDART00000139355	XM_021466705	ENSDARP00000120441
ENSDARG00000055837	arhgef1b	ENSDART00000139355	XM_021466704	ENSDARP00000120441
ENSDARG00000055837	arhgef1b	ENSDART00000139355	XM_017351352	ENSDARP00000120441
ENSDARG00000055837	arhgef1b	ENSDART00000139355	XM_021466702	ENSDARP00000120441
ENSDARG00000055837	arhgef1b	ENSDART00000139355	XM_021466699	ENSDARP00000120441
ENSDARG00000055837	arhgef1b	ENSDART00000139355	XM_021466698	ENSDARP00000120441
ENSDARG00000055837	arhgef1b	ENSDART00000139355	XM_021466706	ENSDARP00000120441
ENSDARG00000055837	arhgef1b	ENSDART00000139355	XM_021466700	ENSDARP00000120441
ENSDARG00000043492	irf1a	ENSDART00000075646	XM_009307024	ENSDARP00000070128
ENSDARG00000070774	irgf1	ENSDART00000134567	XM_021467975	ENSDARP00000116407
ENSDARG00000093658	tm7sf3	ENSDART00000144074	XM_688621	ENSDARP00000118023
ENSDARG00000074387	alkal1	ENSDART00000148958	XM_003199060	ENSDARP00000124774
ENSDARG00000074387	alkal1	ENSDART00000148958	XM_005166929	ENSDARP00000124774
ENSDARG00000035507	ddx31	ENSDART00000148314	XM_021476489	ENSDARP00000119101
ENSDARG00000093845		ENSDART00000152711	XM_021477627	ENSDARP00000127015
ENSDARG00000063451		ENSDART00000148553	XM_009296623	ENSDARP00000124394
ENSDARG00000063451		ENSDART00000148553	XM_001918606	ENSDARP00000124394
ENSDARG00000063451		ENSDART00000148553	XM_009296626	ENSDARP00000124394
ENSDARG00000038543	wdr48b	ENSDART00000056248	XM_005168422	ENSDARP00000056247
ENSDARG00000038543	wdr48b	ENSDART00000056248	XM_005168423	ENSDARP00000056247
ENSDARG00000011897	tsg101b	ENSDART00000011456	XM_002662878	ENSDARP00000013839
ENSDARG00000032577	clcn6	ENSDART00000047134	XM_009304277	ENSDARP00000047133
ENSDARG00000030656	septin3	ENSDART00000181757	XM_005160040	ENSDARP00000146488
ENSDARG00000105714		ENSDART00000174250	XM_005172391	ENSDARP00000143169
ENSDARG00000104398	si:ch73-343g19.4	ENSDART00000171452	XM_009292634	ENSDARP00000131841
ENSDARG00000078618	inpp5kb	ENSDART00000148480	XM_021479346	ENSDARP00000124814
ENSDARG00000067794		ENSDART00000173796	XM_021477647	ENSDARP00000142933
ENSDARG00000067794		ENSDART00000173796	XM_017356926	ENSDARP00000142933
ENSDARG00000078618	inpp5kb	ENSDART00000187956	XM_021479345	ENSDARP00000155848
ENSDARG00000096663		ENSDART00000152826	XM_003200683	ENSDARP00000126629
ENSDARG00000011537	ugt2a5	ENSDART00000014649	XM_009302043	ENSDARP00000022219
ENSDARG00000070074	lrp8	ENSDART00000179450	XM_005166259	ENSDARP00000143584
ENSDARG00000070074	lrp8	ENSDART00000179450	XM_005166257	ENSDARP00000143584
ENSDARG00000070074	lrp8	ENSDART00000179450	XM_005166258	ENSDARP00000143584
ENSDARG00000003592	surf1	ENSDART00000011337	XM_009301509	ENSDARP00000009060
ENSDARG00000102296		ENSDART00000173719	XM_021478082	ENSDARP00000142853
ENSDARG00000053630	itln4	ENSDART00000173895	XM_021477642	ENSDARP00000142906
ENSDARG00000101654	si:ch211-188c18.1	ENSDART00000163183	XM_021476956	ENSDARP00000138809
ENSDARG00000079857	sanbr	ENSDART00000113276	XM_001333632	ENSDARP00000098507
ENSDARG00000078814	si:dkey-34m19.3	ENSDART00000108656	XM_005165796	ENSDARP00000099658
ENSDARG00000078814	si:dkey-34m19.3	ENSDART00000108656	XM_005165797	ENSDARP00000099658
ENSDARG00000078814	si:dkey-34m19.3	ENSDART00000108656	XM_002662300	ENSDARP00000099658
ENSDARG00000078814	si:dkey-34m19.3	ENSDART00000108656	XM_017356577	ENSDARP00000099658
ENSDARG00000078814	si:dkey-34m19.3	ENSDART00000108656	XM_017356576	ENSDARP00000099658
ENSDARG00000078814	si:dkey-34m19.3	ENSDART00000108656	XM_005165795	ENSDARP00000099658
